favorite_count	retweet count	retweet_count	tweet_id
16441		2441.0	837110210464448512
13044		2349.0	836989968035819520
19775		4776.0	836753516572119041
12925		2279.0	836677758902222849
53836		28388.0	817827839487737858
15125		3070.0	836380477523124226
21842		4415.0	836260088725786625
19590		4383.0	836001077879255040
27804		8382.0	786963064373534720
18241		3719.0	835574547218894849
7930		1752.0	835264098648616962
16873		3096.0	835297930240217089
7930		1752.0	835264098648616962
26831		5931.0	835172783151792128
23047		3118.0	835152434251116546
11113		1701.0	834931633769889797
21837		5643.0	834786237630337024
14041		2610.0	834574053763584002
32743		11012.0	829501995190984704
9865		1734.0	834458053273591808
21181		4910.0	834209720923721728
16218		3768.0	834167344700198914
13419		2276.0	834086379323871233
13777		2478.0	833863086058651648
18511		3878.0	833826103416520705
2039		223.0	832434358292209665
21323		3324.0	833722901757046785
15250		2116.0	833479644947025920
20749		4997.0	833124694597443584
13672		2286.0	832998151111966721
1331		39.0	832766382198566913
17313		3738.0	832757312314028032
3682		1963.0	832268302944579584
413		54.0	2017
16298		2880.0	832636094638288896
12271		2288.0	832397543355072512
17666		3298.0	832369877331693569
11644		2412.0	832273440279240704
19055		6425.0	786709082849828864
25758		9688.0	793286476301799424
32543		9981.0	769940425801170949
24697		6355.0	831939777352105988
28462		6738.0	831911600680497154
10753		1879.0	831670449226514432
7385		2004.0	831650051525054464
9250		2378.0	831552930092285952
9516		1596.0	831322785565769729
6727		1160.0	831315979191906304
12090		2545.0	831309418084069378
12264		2120.0	831262627380748289
8208		1545.0	830956169170665475
68922		17403.0	830583320585068544
20812		5906.0	809220051211603969
10134		3077.0	830097400375152640
22278		5211.0	826958653328592898
12603		2027.0	829861396166877184
32743		11012.0	829501995190984704
10796		2100.0	829449946868879360
25197		7651.0	829141528400556032
54722		16909.0	829011960981237760
15332		3533.0	810254108431155201
26360		6095.0	828770345708580865
37745		11654.0	828708714936930305
9818		1408.0	828650029636317184
6530		1205.0	828409743546925057
7922		1341.0	828408677031882754
13037		2300.0	828381636999917570
7625		1111.0	828376505180889089
12971		3057.0	828372645993398273
12147		2970.0	828046555563323392
10685		2231.0	828011680017821696
20765		5437.0	827933404142436356
15969		3116.0	827653905312006145
7657		978.0	827600520311402496
16357		3171.0	827324948884643840
36603		14739.0	694669722378485760
10917		2327.0	827199976799354881
22278		5211.0	826958653328592898
37621		10593.0	826848821049180160
16178		4132.0	809920764300447744
10384		2438.0	826598365270007810
19039		4383.0	826476773533745153
13727		2704.0	826240494070030336
412		54.0	2017
16168		3261.0	826115272272650244
10793		1951.0	825876512159186944
13168		2586.0	825829644528148480
53974		17995.0	825535076884762624
18939		4743.0	825147591692263424
6555		1328.0	825026590719483904
6555		1328.0	825026590719483904
